	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k15177571/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k15177571												http://catalogue.bnf.fr/ark:/12148/cb31164469z	1739	Quinault, Philippe (1635-1688). Auteur du texte		Le Théâtre de M. Quinault, contenant ses tragédies, comédies et opéras. Nouvelle édition [précédée de la Vie de Quinault, par Boffrand].... Tome 4		par la compagnie des librairies (Paris)	Livrets		Gallica		domaine public ¤ public domain	437	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, YF-2658
https://gallica.bnf.fr/ark:/12148/bpt6k1517759v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1517759v												http://catalogue.bnf.fr/ark:/12148/cb31164469z	1739	Quinault, Philippe (1635-1688). Auteur du texte		Le Théâtre de M. Quinault, contenant ses tragédies, comédies et opéras. Nouvelle édition [précédée de la Vie de Quinault, par Boffrand].... Tome 5		par la compagnie des librairies (Paris)	Livrets		Gallica		domaine public ¤ public domain	493	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, YF-2659
https://gallica.bnf.fr/ark:/12148/bpt6k71397p/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k71397p												http://catalogue.bnf.fr/ark:/12148/cb31164490s	1656	Quinault, Philippe (1635-1688). Auteur du texte		L'amant indiscret, ou Le maistre estourdy , comédie par le sr Quinault		T. Quinet (Paris)			Gallica		domaine public ¤ public domain	108		37,3	Bibliothèque nationale de France, Rés. Yf-3122
https://gallica.bnf.fr/ark:/12148/bpt6k3151507/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k3151507												http://catalogue.bnf.fr/ark:/12148/cb31164506b	1657	Quinault, Philippe (1635-1688). Auteur du texte		La Comédie sans comédie par le sr Quinault		G. De Luyne (Paris)			Gallica		domaine public ¤ public domain	108		0	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, FB-19937
https://gallica.bnf.fr/ark:/12148/bpt6k87013049/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k87013049												http://catalogue.bnf.fr/ark:/12148/cb31164507p	1660	Quinault, Philippe (1635-1688). Auteur du texte		La Comedie sans comedie . Par le sr Quinault		Imprimé à Rouen [par Laurent II Maurry], et se vend à Paris, chez Guillaume de Luyne, libraire juré, au Palais, dans la salle des Merciers, à la Justice. M.DC.LX. Avec privilege du Roy.	Avec mode texte		Gallica		domaine public ¤ public domain	92		52	Bibliothèque nationale de France, département Réserve des livres rares, YF-4842
https://gallica.bnf.fr/ark:/12148/bpt6k713981/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k713981				Tragi-comédie	pastorale				M			http://catalogue.bnf.fr/ark:/12148/cb31164520w	1656	Quinault, Philippe (1635-1688). Auteur du texte		La généreuse ingratitude , tragi-comédie pastorale, par le Sr Quinault		T. Quinet (Paris)			Gallica		domaine public ¤ public domain	99		26,39	Bibliothèque nationale de France, Rés. Yf-3123
https://gallica.bnf.fr/ark:/12148/bpt6k5626607t/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5626607t				Tragi-comédie	pastorale				M			http://catalogue.bnf.fr/ark:/12148/cb311645217	1657	Quinault, Philippe (1635-1688). Auteur du texte		La généreuse ingratitude , tragi-comédie pastorale. Par le Sr Quinault		T. Quinet (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	107		67,98	Bibliothèque nationale de France, département Réserve des livres rares, YF-6849
https://gallica.bnf.fr/ark:/12148/bpt6k741417/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k741417												http://catalogue.bnf.fr/ark:/12148/cb311645279	1666	Quinault, Philippe (1635-1688). Auteur du texte		La mère coquette, ou Les amans broüillez , comédie		[s.n.] (Amsterdam)			Gallica		domaine public ¤ public domain	101		0	Bibliothèque nationale de France, département Littérature et art, 8-Yth-11639
https://gallica.bnf.fr/ark:/12148/bpt6k5602603c/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5602603c							5					http://catalogue.bnf.fr/ark:/12148/cb311645306	1769	Quinault, Philippe (1635-1688). Auteur du texte		La Mère coquette, ou les Amans brouillés, comédie en 5 actes et en vers, du célèbre Philippe Quinault. Nouvelle édition revue, corrigée et augmentée, avec le changement de caractère du Marquis de cette comédie [par Collé]		P.-F. Gueffier (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	116		82,81	Bibliothèque nationale de France, département Littérature et art, YF-7436
https://gallica.bnf.fr/ark:/12148/bpt6k87013012/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k87013012												http://catalogue.bnf.fr/ark:/12148/cb311645488	1661	Quinault, Philippe (1635-1688). Auteur du texte		Les Rivalles , comedie.		Imprimée à Rouen, et se vend à Paris, chez Guillaume de Luyne, libraire-juré, dans la salle des Merciers, à la Justice. M.DC.LXI. Avec privilege du Roy.	Avec mode texte		Gallica		domaine public ¤ public domain	48		40	Bibliothèque nationale de France, département Réserve des livres rares, YF-4844
https://gallica.bnf.fr/ark:/12148/bpt6k1511177v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1511177v												http://catalogue.bnf.fr/ark:/12148/cb31164553v	1674	Quinault, Philippe (1635-1688). Auteur du texte		Alceste ou Le triomphe d'Alcide . Tragédie representée par l'Académie royale de musique		On la vend a Paris a l'entrée de la porte de l'Académie royale de musique, au Palais royal. Imprimée aux dépens de ladite Académie. Par René Baudry, imprimeur. M.DC.LXXIV	Tragédies lyriques		Gallica		domaine public ¤ public domain	86		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-1693
